Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,14000,21678,1553,12891,197185,203048,30,389355,89.143%,31.66532,13.37,0.00
TOTAL,14000,21678,1553,12891,197185,203048,30,389355,89.143%,31.66532,13.37,0.00
