Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,14000,3586,3410,3557,5690,9726,203,14407,0.000%,175.49138,431.37,0.00
TOTAL,14000,3586,3410,3557,5690,9726,203,14407,0.000%,175.49138,431.37,0.00
