Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1200,4837,747,5777,590.29,0.000%,24.88904,11.97,12.59,492.4
TOTAL,1200,4837,747,5777,590.29,0.000%,24.88904,11.97,12.59,492.4
